Model,Variable,Coefficient,Std_Error,P_Value,Significance,Model_Type
Main d_Pension_GDP,d_FLFP,-0.02973076072665562,0.024811954793870848,0.23204490948121947,,Fixed Effects
Main d_Pension_GDP,CPR,-0.01114338872635338,0.011275283292308449,0.32403420956037465,,Fixed Effects
Main d_Pension_GDP,TFR,-0.263799629475515,0.18259548535945577,0.14988535472662554,,Fixed Effects
Lagged d_Pension_GDP,FLFP_lag2,0.0035344710571917123,0.010704114771025876,0.7415664479714343,,Fixed Effects
Lagged d_Pension_GDP,CPR_lag3,-0.013646100620551537,0.013584111490939866,0.3162157976076082,,Fixed Effects
Lagged d_Pension_GDP,TFR_lag5,-0.5105523212247925,0.1706217473750972,0.003086285635810286,**,Fixed Effects
No_Outliers d_Pension_GDP,d_FLFP,-0.05120276699786647,0.029941317722642333,0.08724664452352723,,Random Effects
No_Outliers d_Pension_GDP,CPR,1.624617452555169e-4,0.003290106997481011,0.9606173718697799,,Random Effects
No_Outliers d_Pension_GDP,TFR,-0.05665981563334903,0.06767871173315484,0.40248681593350283,,Random Effects
Main d_Old_age_dependency,d_FLFP,-0.0034590807078890293,0.03659870518306077,0.9248001417678935,,Fixed Effects
Main d_Old_age_dependency,CPR,0.010357220632890723,0.01694573456272996,0.541794383640654,,Fixed Effects
Main d_Old_age_dependency,TFR,-0.20601292754264017,0.2887119586148643,0.4763710937011073,,Fixed Effects
Lagged d_Old_age_dependency,FLFP_lag2,0.01619426832164602,0.017630036664032647,0.3595681327488911,,Fixed Effects
Lagged d_Old_age_dependency,CPR_lag3,0.022418114175143215,0.022055065323177074,0.31078951300371965,,Fixed Effects
Lagged d_Old_age_dependency,TFR_lag5,0.2681350021882621,0.27418454668809683,0.32943309588489345,,Fixed Effects
No_Outliers d_Old_age_dependency,d_FLFP,-0.03699190601365924,0.044696168185092984,0.4078798659551088,,Random Effects
No_Outliers d_Old_age_dependency,CPR,3.814060851903201e-4,0.008527106500247232,0.964323585647528,,Random Effects
No_Outliers d_Old_age_dependency,TFR,-0.40822924764180246,0.18136587111829225,0.02439438389997964,*,Random Effects
Main d_Pension_financing_gap,d_FLFP,-0.02864564063941562,0.038972418973689665,0.4623252316208842,,Random Effects
Main d_Pension_financing_gap,CPR,0.008351202484015179,0.004943356671601069,0.09114684081377415,,Random Effects
Main d_Pension_financing_gap,TFR,0.11232269952888846,0.10494046549957911,0.2844632014117482,,Random Effects
Lagged d_Pension_financing_gap,FLFP_lag2,0.003335693836966416,0.0067666024922725205,0.6220377732826373,,Random Effects
Lagged d_Pension_financing_gap,CPR_lag3,0.004701593353088295,0.0058274642968143995,0.4197821978937479,,Random Effects
Lagged d_Pension_financing_gap,TFR_lag5,0.004023577301886222,0.10241006931781195,0.9686600693067472,,Random Effects
No_Outliers d_Pension_financing_gap,d_FLFP,-0.0356340177489114,0.054115679234264046,0.5110627560683428,,Fixed Effects
No_Outliers d_Pension_financing_gap,CPR,0.006885825018172892,0.021100554919499317,0.7445467371374515,,Fixed Effects
No_Outliers d_Pension_financing_gap,TFR,-0.26725024812528564,0.29414054007493107,0.3647733526148602,,Fixed Effects
Main d_Social_security_GDP,d_FLFP,0.009924072386891181,0.027323193170562147,0.7164475971994174,,Random Effects
Main d_Social_security_GDP,CPR,-0.0050632491607285205,0.004000644267995121,0.205653302033843,,Random Effects
Main d_Social_security_GDP,TFR,-0.16633515555722422,0.0875525006731061,0.057455000488622225,,Random Effects
Lagged d_Social_security_GDP,FLFP_lag2,-3.2106715173416686e-4,0.006201229425192973,0.958708168901769,,Random Effects
Lagged d_Social_security_GDP,CPR_lag3,-0.0033813751772479098,0.005389541729770887,0.5303999013811096,,Random Effects
Lagged d_Social_security_GDP,TFR_lag5,-0.1031214003745192,0.09685291514723349,0.287001887609897,,Random Effects
No_Outliers d_Social_security_GDP,d_FLFP,-0.008025617082119728,0.039397981271266376,0.8388106056290823,,Fixed Effects
No_Outliers d_Social_security_GDP,CPR,-0.004467030555235241,0.015361892880121167,0.7715457319788211,,Fixed Effects
No_Outliers d_Social_security_GDP,TFR,0.04592775470618617,0.21414391638375435,0.8304195441760873,,Fixed Effects
