Country,Year,Life_expectancy_65
Brazil,1991,12.1
Brazil,1991,14.6
Brazil,1998,15.4
Brazil,1998,17.7
Brazil,1999,15.6
Brazil,1999,17.9
Brazil,2000,15.7
Brazil,2000,18.1
Brazil,2001,15.8
Brazil,2001,18.2
Brazil,2002,15.8
Brazil,2002,18.3
Brazil,2003,15.9
Brazil,2003,18.4
Brazil,2004,16
Brazil,2004,18.5
Brazil,2005,16
Brazil,2005,18.6
Brazil,2006,16.1
Brazil,2006,18.7
Brazil,2007,16.2
Brazil,2007,18.8
Brazil,2008,16.2
Brazil,2008,19
Brazil,2009,16.3
Brazil,2009,19.1
Brazil,2010,16.4
Brazil,2010,19.2
Brazil,2011,16.1
Brazil,2011,18.9
Brazil,2012,16.3
Brazil,2012,19.4
Brazil,2013,16.4
Brazil,2013,19.5
Brazil,2014,16.6
Brazil,2014,19.7
Brazil,2015,16.7
Brazil,2015,19.8
Brazil,2016,16.8
Brazil,2016,20
Brazil,2017,16.9
Brazil,2017,20.1
Brazil,2018,17.1
Brazil,2018,20.3
Brazil,2019,17.2
Brazil,2019,20.4
Brazil,2020,17.3
Brazil,2020,20.6
Brazil,2021,17.4
Brazil,2021,20.7
Chile,1990,14.1
Chile,1990,17.2
Chile,1991,14.3
Chile,1991,17.4
Chile,1992,14.5
Chile,1992,17.5
Chile,1993,14.7
Chile,1993,17.7
Chile,1994,14.8
Chile,1994,17.9
Chile,1995,15
Chile,1995,18.1
Chile,1996,15.1
Chile,1996,18.3
Chile,1997,15.3
Chile,1997,18.4
Chile,1998,15.4
Chile,1998,18.6
Chile,1999,15.6
Chile,1999,18.8
Chile,2000,15.7
Chile,2000,19
Chile,2001,15.8
Chile,2001,19.1
Chile,2002,16
Chile,2002,19.3
Chile,2003,16.1
Chile,2003,19.4
Chile,2004,16.3
Chile,2004,19.6
Chile,2005,16.4
Chile,2005,19.8
Chile,2006,16.6
Chile,2006,19.9
Chile,2007,16.7
Chile,2007,20.1
Chile,2008,16.9
Chile,2008,20.2
Chile,2009,17
Chile,2009,20.4
Chile,2010,17.2
Chile,2010,20.5
Chile,2011,17.3
Chile,2011,20.7
Chile,2012,17.5
Chile,2012,20.8
Chile,2013,17.6
Chile,2013,21
Chile,2014,17.8
Chile,2014,21.1
Chile,2015,17.9
Chile,2015,21.3
Chile,2016,18
Chile,2016,21.4
Chile,2017,18.2
Chile,2017,21.5
Chile,2018,18.3
Chile,2018,21.7
Chile,2019,18.5
Chile,2019,21.8
Chile,2020,18.6
Chile,2020,22
Chile,2021,18.8
Chile,2021,22.1
Chile,2022,22.2
Chile,2022,18.9
Chile,2023,19
Chile,2023,22.4
France,1990,15.7
France,1990,20.2
France,1991,15.8
France,1991,20.4
France,1992,16
France,1992,20.7
France,1993,16
France,1993,20.6
France,1994,16.3
France,1994,21
France,1995,16.2
France,1995,20.9
France,1996,16.2
France,1996,21
France,1997,16.4
France,1997,21.1
France,1998,16.5
France,1998,21.2
France,1999,16.6
France,1999,21.2
France,2000,16.8
France,2000,21.4
France,2001,17
France,2001,21.5
France,2002,17
France,2002,21.4
France,2003,17
France,2003,21.1
France,2004,17.7
France,2004,22.1
France,2005,17.7
France,2005,22
France,2006,18.2
France,2006,22.7
France,2007,18.4
France,2007,23
France,2008,18.5
France,2008,23
France,2009,18.7
France,2009,23.2
France,2010,18.9
France,2010,23.4
France,2011,19.3
France,2011,23.8
France,2012,19.1
France,2012,23.4
France,2013,19.3
France,2013,23.6
France,2014,19.7
France,2014,24
France,2015,19.4
France,2015,23.5
France,2016,19.6
France,2016,23.7
France,2017,19.6
France,2017,23.7
France,2018,19.7
