Country,Year,Old_age_dependency
Brazil,1990,8.4
Brazil,1991,9
Brazil,1992,9.2
Brazil,1993,9.3
Brazil,1994,9.5
Brazil,1995,9.6
Brazil,1996,9.7
Brazil,1997,9.8
Brazil,1998,9.9
Brazil,1999,10
Brazil,2000,9.3
Brazil,2001,10.2
Brazil,2002,10.4
Brazil,2003,10.5
Brazil,2004,10.7
Brazil,2005,10.8
Brazil,2006,11
Brazil,2007,11.1
Brazil,2008,11.3
Brazil,2009,11.5
Brazil,2010,11.7
Brazil,2011,11.9
Brazil,2012,12.2
Brazil,2013,12.5
Brazil,2014,12.9
Brazil,2015,13
Brazil,2017,14.1
Brazil,2019,15
Brazil,2020,15.5
Brazil,2021,16
Brazil,2022,15.8
Chile,1990,10.9
Chile,1991,11.3
Chile,1992,11.4
Chile,1993,11.6
Chile,1994,11.7
Chile,1995,11.9
Chile,1996,12.1
Chile,1997,12.2
Chile,1998,12.5
Chile,1999,12.7
Chile,2000,13.1
Chile,2001,13
Chile,2002,13.2
Chile,2003,13.4
Chile,2004,13.6
Chile,2005,13.8
Chile,2006,14.1
Chile,2007,14.4
Chile,2008,14.7
Chile,2009,15
Chile,2010,15.3
Chile,2011,15.6
Chile,2012,16
Chile,2013,16.4
Chile,2014,16.8
Chile,2015,17
Chile,2017,18.2
Chile,2019,19.4
Chile,2020,19.7
Chile,2021,20.9
Chile,2022,20.9
Chile,2023,22.7
Chile,2024,23.6
France,1990,24
France,1991,24.6
France,1992,24.9
France,1993,25.2
France,1994,25.4
France,1995,25.7
France,1996,26.1
France,1997,26.5
France,1998,26.8
France,1999,27.2
France,2000,27.3
France,2001,27.7
France,2002,27.9
France,2003,28
France,2004,28.1
France,2005,28.1
France,2006,28.1
France,2007,28.1
France,2008,28.1
France,2009,28.2
France,2010,28.6
France,2011,29.2
France,2012,30
France,2013,30.9
France,2014,31.9
France,2015,33.3
France,2017,34.4
France,2019,35.8
France,2020,37.3
France,2021,37.1
France,2022,39.3
France,2023,38.4
France,2024,39
Germany,1990,23.5
Germany,1991,23.8
Germany,1992,24
Germany,1993,24.1
Germany,1994,24.3
Germany,1995,24.5
Germany,1996,24.7
Germany,1997,24.9
Germany,1998,25.2
Germany,1999,25.6
Germany,2000,26.5
Germany,2001,27
Germany,2002,28
Germany,2003,29.1
Germany,2004,30.1
Germany,2005,31.1
Germany,2006,32
Germany,2007,32.7
Germany,2008,33.4
Germany,2009,33.9
Germany,2010,34.4
Germany,2011,34.6
Germany,2012,34.8
Germany,2013,34.9
Germany,2014,35
Germany,2015,34.8
Germany,2017,36.4
Germany,2019,38
Germany,2020,36.5
Germany,2021,39.7
Germany,2022,38
Germany,2023,41.4
Germany,2024,42.4
Greece,1990,22.9
Greece,1991,23.3
Greece,1992,23.7
Greece,1993,24.3
Greece,1994,24.8
Greece,1995,25.3
Greece,1996,25.8
Greece,1997,26.2
Greece,1998,26.6
Greece,1999,27
Greece,2000,26.7
Greece,2001,28.1
Greece,2002,28.7
Greece,2003,29.2
Greece,2004,29.8
Greece,2005,30.1
Greece,2006,30.4
Greece,2007,30.5
Greece,2008,30.5
Greece,2009,30.6
Greece,2010,30.9
Greece,2011,31.2
Greece,2012,31.7
Greece,2013,32.3
Greece,2014,32.9
Greece,2015,33
Greece,2017,34.7
Greece,2019,35.8
Greece,2020,37.8
Greece,2021,37.1
Greece,2022,39.3
Greece,2023,38.7
Greece,2024,39.4
Italy,1990,24.3
Italy,1991,25.1
Italy,1992,25.5
Italy,1993,26
Italy,1994,26.4
Italy,1995,26.9
Italy,1996,27.4
Italy,1997,27.9
Italy,1998,28.4
