Country,Year,Social_security_GDP
Chile,1990,1.506
Chile,1991,1.359
Chile,1992,1.415
Chile,1993,1.342
Chile,1994,1.276
Chile,1995,1.177
Chile,1996,1.244
Chile,1997,1.25
Chile,1998,1.316
Chile,1999,1.37
Chile,2000,1.366
Chile,2001,1.383
Chile,2002,1.402
Chile,2003,1.376
Chile,2004,1.37
Chile,2005,1.361
Chile,2006,1.288
Chile,2007,1.274
Chile,2008,1.373
Chile,2009,1.427
Chile,2010,1.349
Chile,2011,1.336
Chile,2012,1.387
Chile,2013,1.434
Chile,2014,1.426
Chile,2015,1.42
Chile,2016,1.447
Chile,2017,1.465
Chile,2018,1.471
Chile,2019,1.53
Chile,2020,1.541
Chile,2021,1.171
Chile,2022,0.985
France,1990,18.143
France,1991,18.212
France,1992,18.29
France,1993,19.456
France,1994,18.834
France,1995,18.065
France,1996,18.113
France,1997,17.657
France,1998,15.627
France,1999,15.802
France,2000,15.57
France,2001,15.569
France,2002,15.653
France,2003,15.887
France,2004,15.675
France,2005,15.81
France,2006,15.958
France,2007,15.726
France,2008,15.728
France,2009,16.274
France,2010,16.105
France,2011,16.229
France,2012,16.446
France,2013,16.732
France,2014,16.912
France,2015,16.719
France,2016,16.679
France,2017,16.735
France,2018,16.018
France,2019,14.827
France,2020,14.827
France,2021,14.818
France,2022,14.991
Germany,1990,13.044
Germany,1991,13.324
Germany,1992,13.582
Germany,1993,13.727
Germany,1994,14.018
Germany,1995,14.148
Germany,1996,14.356
Germany,1997,14.551
Germany,1998,14.38
Germany,1999,14.237
Germany,2000,14.198
Germany,2001,13.965
Germany,2002,13.918
Germany,2003,14.075
Germany,2004,13.837
Germany,2005,13.614
Germany,2006,13.289
Germany,2007,12.832
Germany,2008,12.897
Germany,2009,14.092
Germany,2010,13.817
Germany,2011,13.795
Germany,2012,13.959
Germany,2013,13.957
Germany,2014,13.926
Germany,2015,14.039
Germany,2016,14.207
Germany,2017,14.299
Germany,2018,14.49
Germany,2019,14.626
Germany,2020,15.05
Germany,2021,14.772
Germany,2022,14.622
Greece,1990,7.611
Greece,1991,7.38
Greece,1992,7.318
Greece,1993,8.238
Greece,1994,8.285
Greece,1995,8.995
Greece,1996,9.057
Greece,1997,9.269
Greece,1998,9.478
Greece,1999,9.596
Greece,2000,10.113
Greece,2001,10.194
Greece,2002,11.09
Greece,2003,11.005
Greece,2004,10.515
Greece,2005,10.709
Greece,2006,10.259
Greece,2007,10.718
Greece,2008,10.738
Greece,2009,10.167
Greece,2010,11.042
Greece,2011,10.889
Greece,2012,11.112
Greece,2013,10.759
Greece,2014,10.48
Greece,2015,10.663
Greece,2016,11.068
Greece,2017,11.745
