Country,Year,Urban_rate
Brazil,1990,73.922
Brazil,1991,74.69
Brazil,1992,75.444
Brazil,1993,76.181
Brazil,1994,76.903
Brazil,1995,77.61
Brazil,1996,78.302
Brazil,1997,79.048
Brazil,1998,79.781
Brazil,1999,80.496
Brazil,2000,81.192
Brazil,2001,81.553
Brazil,2002,81.88
Brazil,2003,82.203
Brazil,2004,82.521
Brazil,2005,82.834
Brazil,2006,83.143
Brazil,2007,83.448
Brazil,2008,83.749
Brazil,2009,84.044
Brazil,2010,84.335
Brazil,2011,84.631
Brazil,2012,84.923
Brazil,2013,85.209
Brazil,2014,85.492
Brazil,2015,85.77
Brazil,2016,86.042
Brazil,2017,86.309
Brazil,2018,86.569
Brazil,2019,86.824
Brazil,2020,87.073
Brazil,2021,87.317
Brazil,2022,87.555
Brazil,2023,87.788
Chile,1990,83.271
Chile,1991,83.398
Chile,1992,83.564
Chile,1993,83.896
Chile,1994,84.223
Chile,1995,84.545
Chile,1996,84.861
Chile,1997,85.172
Chile,1998,85.477
Chile,1999,85.778
Chile,2000,86.073
Chile,2001,86.363
Chile,2002,86.606
Chile,2003,86.665
Chile,2004,86.725
Chile,2005,86.783
Chile,2006,86.842
Chile,2007,86.9
Chile,2008,86.959
Chile,2009,87.017
Chile,2010,87.074
Chile,2011,87.132
Chile,2012,87.189
Chile,2013,87.246
Chile,2014,87.303
Chile,2015,87.36
Chile,2016,87.422
Chile,2017,87.49
Chile,2018,87.564
Chile,2019,87.643
Chile,2020,87.727
Chile,2021,87.817
Chile,2022,87.912
Chile,2023,88.012
France,1990,74.056
France,1991,74.229
France,1992,74.401
France,1993,74.572
France,1994,74.743
France,1995,74.912
France,1996,75.082
France,1997,75.25
France,1998,75.417
France,1999,75.614
France,2000,75.871
France,2001,76.127
France,2002,76.38
France,2003,76.632
France,2004,76.883
France,2005,77.13
France,2006,77.377
France,2007,77.621
France,2008,77.868
France,2009,78.117
France,2010,78.369
France,2011,78.622
France,2012,78.878
France,2013,79.135
France,2014,79.394
France,2015,79.655
France,2016,79.917
France,2017,80.18
France,2018,80.444
France,2019,80.709
France,2020,80.975
France,2021,81.242
France,2022,81.509
France,2023,81.777
Germany,1990,73.118
Germany,1991,73.269
Germany,1992,73.36
Germany,1993,73.497
Germany,1994,73.71
Germany,1995,73.922
Germany,1996,74.133
Germany,1997,74.342
Germany,1998,74.551
