Country,Year,Female_tertiary_education
Brazil,2004,8.63
Brazil,2006,9.12
Brazil,2007,10.14
Brazil,2008,10.84
Brazil,2009,11.57
Brazil,2010,12.51
Brazil,2011,12.65
Brazil,2012,13.25
Brazil,2013,13.99
Brazil,2014,14.7
Brazil,2015,15.06
Brazil,2016,16.92
Brazil,2017,17.54
Brazil,2018,18.29
Brazil,2019,21.294151
Brazil,2020,22.867119
Brazil,2021,23.305719
Brazil,2022,23.141
Brazil,2023,23.57
Chile,2004,12.61
Chile,2007,13.87
Chile,2008,20.18
Chile,2009,17.131065
Chile,2010,10.659
Chile,2011,9.85
Chile,2012,11.417
Chile,2013,10.99
Chile,2014,12.594
Chile,2015,12.32
Chile,2016,13.004
Chile,2017,14.14
Chile,2018,14.551
Chile,2019,15.435
Chile,2020,18.581
Chile,2021,18.931
Chile,2022,19.546
Chile,2023,20.935
France,1990,10.25
France,1991,14.894364
France,1992,15.635099
France,1994,17.900284
France,1995,18.855011
France,1997,20.317392
France,1998,21.06875
France,1999,21.89205
France,2000,22.027519
France,2001,23.550108
France,2002,24.844231
France,2003,24.76334
France,2004,25.431391
France,2005,26.555849
France,2006,27.580599
France,2007,27.973269
France,2008,29.074776
France,2009,30.428736
France,2010,30.673267
France,2011,31.422382
France,2012,32.671661
France,2013,34.049885
France,2014,35.7752
France,2015,36.540623
France,2016,36.876068
France,2017,37.543358
France,2018,39.442608
France,2019,40.550228
France,2020,42.535744
France,2021,43.517208
France,2022,44.708405
France,2023,24.761
Germany,1991,15.296329
Germany,1992,15.162838
Germany,1994,16.095867
Germany,1995,16.574541
Germany,1997,16.959478
Germany,1998,17.424431
Germany,1999,17.549835
Germany,2000,18.325188
Germany,2001,18.192644
Germany,2002,18.611786
Germany,2003,19.370392
Germany,2004,20.601019
Germany,2005,20.297405
Germany,2006,20.147552
Germany,2007,20.749664
Germany,2008,21.83062
Germany,2009,23.066357
Germany,2010,23.37282
Germany,2011,24.903835
Germany,2012,25.742893
Germany,2013,26.347219
Germany,2014,23.663828
Germany,2015,24.437277
Germany,2016,25.228304
Germany,2017,25.732599
Germany,2018,26.440598
Germany,2019,27.315199
Germany,2020,28.971186
Germany,2021,29.037636
Germany,2022,30.454971
Greece,1990,8.4336395
Greece,1991,9.0289335
Greece,1992,9.7544556
Greece,1993,10.67055
