Country,Year,Pension_GDP
Brazil,2004,7.379
Brazil,2005,7.308
Brazil,2006,7.136
Brazil,2007,7.247
Brazil,2008,7.181
Brazil,2009,6.899
Brazil,2010,6.472
Brazil,2011,6.214
Brazil,2012,6.384
Brazil,2013,6.497
Brazil,2014,6.255
Brazil,2015,6.715
Brazil,2016,6.848
Brazil,2017,6.931
Brazil,2018,8.461
Brazil,2019,8.505
Brazil,2020,9.154
Brazil,2021,8.111
Brazil,2022,8.034
Chile,1990,7.958
Chile,1991,7.865
Chile,1992,7.455
Chile,1993,7.509
Chile,1994,7.266
Chile,1995,6.661
Chile,1996,7.18
Chile,1997,6.893
Chile,1998,6.947
Chile,1999,7.341
Chile,2000,4.988
Chile,2001,4.601
Chile,2002,4.509
Chile,2003,4.311
Chile,2004,3.873
Chile,2005,3.732
Chile,2006,3.288
Chile,2007,3.131
Chile,2008,3.329
Chile,2009,3.589
Chile,2010,3.432
Chile,2011,3.249
Chile,2012,3.135
Chile,2013,3.018
Chile,2014,2.976
Chile,2015,2.94
Chile,2016,2.86
Chile,2017,2.855
Chile,2018,2.831
Chile,2019,2.88
Chile,2020,3.132
Chile,2021,3.143
Chile,2022,3.36
Chile,2023,3.735
France,1990,10.693
France,1991,10.958
France,1992,11.297
France,1993,11.77
France,1994,11.91
France,1995,12.056
France,1996,12.197
France,1997,12.143
France,1998,12.009
France,1999,11.994
France,2000,11.736
France,2001,11.768
France,2002,11.952
France,2003,12.114
France,2004,12.204
France,2005,12.366
France,2006,12.2
France,2007,12.306
France,2008,12.602
France,2009,13.532
France,2010,13.606
France,2011,13.702
France,2012,14.004
France,2013,14.205
France,2014,14.272
France,2015,14.2
France,2016,14.24
France,2017,14.097
France,2018,14.059
France,2019,13.899
France,2020,14.882
France,2021,13.999
France,2022,13.803
Germany,1990,9.493
Germany,1991,9.346
Germany,1992,9.716
Germany,1993,10.066
Germany,1994,10.273
Germany,1995,10.732
Germany,1996,11.092
Germany,1997,11.295
Germany,1998,11.38
Germany,1999,11.367
Germany,2000,11.456
Germany,2001,11.489
Germany,2002,11.721
Germany,2003,11.897
Germany,2004,11.759
Germany,2005,11.721
Germany,2006,11.304
Germany,2007,10.883
Germany,2008,10.887
Germany,2009,11.621
Germany,2010,11.301
Germany,2011,10.849
Germany,2012,10.863
Germany,2013,10.802
Germany,2014,10.713
Germany,2015,10.847
