Country,Year,CPR
Brazil,1990,49
Brazil,1991,50
Brazil,1992,51.1
Brazil,1993,52.2
Brazil,1994,53.3
Brazil,1995,54.3
Brazil,1996,55.4
Brazil,1997,56.4
Brazil,1998,57.5
Brazil,1999,58.6
Brazil,2000,59.7
Brazil,2001,60.5
Brazil,2002,61.4
Brazil,2003,62.3
Brazil,2004,63.1
Brazil,2005,63.9
Brazil,2006,64.6
Brazil,2007,65.2
Brazil,2008,65.4
Brazil,2009,65.6
Brazil,2010,65.7
Brazil,2011,65.8
Brazil,2012,65.9
Brazil,2013,66
Brazil,2014,66
Brazil,2015,66
Brazil,2016,66.1
Brazil,2017,66.1
Brazil,2018,66.3
Brazil,2019,66.4
Brazil,2020,66.4
Brazil,2021,66.4
Brazil,2022,66.5
Brazil,2023,66.6
Brazil,2024,66.6
Chile,1990,32.2
Chile,1991,33.3
Chile,1992,34.5
Chile,1993,35.7
Chile,1994,37
Chile,1995,38.2
Chile,1996,39.4
Chile,1997,40.6
Chile,1998,41.8
Chile,1999,43
Chile,2000,44.2
Chile,2001,45.3
Chile,2002,46.5
Chile,2003,47.7
Chile,2004,48.8
Chile,2005,50
Chile,2006,51.1
Chile,2007,52.4
Chile,2008,53.6
Chile,2009,54.9
Chile,2010,56.1
Chile,2011,57.3
Chile,2012,58.6
Chile,2013,59.8
Chile,2014,61
Chile,2015,62.1
Chile,2016,62.8
Chile,2017,63.3
Chile,2018,63.7
Chile,2019,64
Chile,2020,64.3
Chile,2021,64.6
Chile,2022,64.9
Chile,2023,65.2
Chile,2024,65.4
France,1990,66
France,1991,65.8
France,1992,65.6
France,1993,65.5
France,1994,65.3
France,1995,65.2
France,1996,64.9
France,1997,64.8
France,1998,64.6
France,1999,64.5
France,2000,64.2
France,2001,64
France,2002,63.8
France,2003,63.5
France,2004,63.4
France,2005,63.4
France,2006,64
France,2007,64.7
France,2008,65.5
France,2009,66.3
France,2010,67
France,2011,67.2
France,2012,67.3
France,2013,67.3
France,2014,67.3
France,2015,67.2
France,2016,67.2
France,2017,67.1
France,2018,67
France,2019,66.9
France,2020,66.9
France,2021,66.8
France,2022,66.8
France,2023,66.7
France,2024,66.7
Germany,1990,64.9
Germany,1991,64.2
Germany,1992,63.5
Germany,1993,62.9
Germany,1994,62.3
Germany,1995,61.8
Germany,1996,61.2
Germany,1997,60.6
Germany,1998,60
Germany,1999,59.5
Germany,2000,58.8
Germany,2001,58.3
Germany,2002,57.7
Germany,2003,57
Germany,2004,56.6
Germany,2005,56.2
Germany,2006,56.4
Germany,2007,56.9
Germany,2008,57.5
Germany,2009,58.3
Germany,2010,59
Germany,2011,59.5
Germany,2012,59.4
Germany,2013,59
Germany,2014,58.3
Germany,2015,57.5
Germany,2016,56.7
Germany,2017,56
Germany,2018,55.4
Germany,2019,55.1
Germany,2020,54.9
Germany,2021,54.8
Germany,2022,54.8
Germany,2023,54.8
Germany,2024,54.9
Greece,1990,47.5
Greece,1991,47.3
Greece,1992,47.3
Greece,1993,47.3
Greece,1994,47.3
Greece,1995,47.3
Greece,1996,47.2
Greece,1997,47.3
Greece,1998,47.4
Greece,1999,47.7
Greece,2000,48.1
