Country,Year,TFR
Brazil,1990,2.91
Brazil,1991,2.82
Brazil,1992,2.72
Brazil,1993,2.67
Brazil,1994,2.62
Brazil,1995,2.58
Brazil,1996,2.52
Brazil,1997,2.47
Brazil,1998,2.41
Brazil,1999,2.33
Brazil,2000,2.26
Brazil,2001,2.18
Brazil,2002,2.1
Brazil,2003,2.02
Brazil,2004,2
Brazil,2005,1.97
Brazil,2006,1.93
Brazil,2007,1.88
Brazil,2008,1.84
Brazil,2009,1.83
Brazil,2010,1.81
Brazil,2011,1.8
Brazil,2012,1.77
Brazil,2013,1.75
Brazil,2014,1.77
Brazil,2015,1.78
Brazil,2016,1.71
Brazil,2017,1.74
Brazil,2018,1.75
Brazil,2019,1.7
Brazil,2020,1.65
Brazil,2021,1.64
Chile,1990,2.58
Chile,1991,2.56
Chile,1992,2.53
Chile,1993,2.48
Chile,1994,2.43
Chile,1995,2.37
Chile,1996,2.31
Chile,1997,2.24
Chile,1998,2.17
Chile,1999,2.11
Chile,2000,2.06
Chile,2001,2.01
Chile,2002,1.97
Chile,2003,1.94
Chile,2004,1.92
Chile,2005,1.91
Chile,2006,1.9
Chile,2007,1.9
Chile,2008,1.9
Chile,2009,1.89
Chile,2010,1.88
Chile,2011,1.82
Chile,2012,1.8
Chile,2013,1.79
Chile,2014,1.77
Chile,2015,1.74
Chile,2016,1.68
Chile,2017,1.6
Chile,2018,1.56
Chile,2019,1.55
Chile,2020,1.54
Chile,2021,1.54
France,1990,1.78
France,1991,1.77
France,1992,1.73
France,1993,1.66
France,1994,1.66
France,1995,1.71
France,1996,1.73
France,1997,1.73
France,1998,1.76
France,1999,1.79
France,2000,1.87
France,2001,1.88
France,2002,1.86
France,2003,1.87
France,2004,1.9
France,2005,1.92
France,2006,1.98
France,2007,1.95
France,2008,1.99
France,2009,1.99
France,2010,2.02
France,2011,2
France,2012,1.99
France,2013,1.97
France,2014,1.97
France,2015,1.93
France,2016,1.89
France,2017,1.86
France,2018,1.84
France,2019,1.83
France,2020,1.79
France,2021,1.8
Germany,1990,1.45
Germany,1991,1.33
Germany,1992,1.29
Germany,1993,1.28
Germany,1994,1.24
Germany,1995,1.25
Germany,1996,1.32
Germany,1997,1.37
Germany,1998,1.36
Germany,1999,1.36
Germany,2000,1.38
Germany,2001,1.35
Germany,2002,1.34
Germany,2003,1.34
Germany,2004,1.36
Germany,2005,1.34
Germany,2006,1.33
Germany,2007,1.37
Germany,2008,1.38
Germany,2009,1.36
Germany,2010,1.39
Germany,2011,1.39
Germany,2012,1.41
Germany,2013,1.42
Germany,2014,1.47
Germany,2015,1.5
Germany,2016,1.59
Germany,2017,1.57
Germany,2018,1.57
Germany,2019,1.54
Germany,2020,1.53
Germany,2021,1.58
Greece,1990,1.39
Greece,1991,1.37
Greece,1992,1.36
Greece,1993,1.32
Greece,1994,1.33
Greece,1995,1.28
Greece,1996,1.26
Greece,1997,1.27
Greece,1998,1.24
Greece,1999,1.23
Greece,2000,1.25
Greece,2001,1.25
Greece,2002,1.28
Greece,2003,1.29
Greece,2004,1.31
Greece,2005,1.34
Greece,2006,1.4
Greece,2007,1.41
Greece,2008,1.5
Greece,2009,1.5
Greece,2010,1.48
Greece,2011,1.4
Greece,2012,1.34
Greece,2013,1.29
Greece,2014,1.3
Greece,2015,1.33
Greece,2016,1.38
Greece,2017,1.35
Greece,2018,1.35
Greece,2019,1.34
Greece,2020,1.39
Greece,2021,1.43
Italy,1990,1.36
Italy,1991,1.33
Italy,1992,1.32
Italy,1993,1.26
Italy,1994,1.22
Italy,1995,1.19
Italy,1996,1.22
Italy,1997,1.23
Italy,1998,1.21
Italy,1999,1.23
Italy,2000,1.26
Italy,2001,1.25
Italy,2002,1.27
Italy,2003,1.29
Italy,2004,1.34
Italy,2005,1.33
Italy,2006,1.37
Italy,2007,1.39
Italy,2008,1.44
Italy,2009,1.44
Italy,2010,1.44
Italy,2011,1.42
Italy,2012,1.42
Italy,2013,1.39
Italy,2014,1.38
Italy,2015,1.36
Italy,2016,1.36
Italy,2017,1.34
Italy,2018,1.31
Italy,2019,1.27
Italy,2020,1.24
Italy,2021,1.25
Japan,1990,1.54
Japan,1991,1.53
Japan,1992,1.5
Japan,1993,1.46
Japan,1994,1.5
Japan,1995,1.42
Japan,1996,1.43
Japan,1997,1.39
Japan,1998,1.38
Japan,1999,1.34
Japan,2000,1.36
Japan,2001,1.33
Japan,2002,1.32
Japan,2003,1.29
Japan,2004,1.29
Japan,2005,1.26
Japan,2006,1.32
Japan,2007,1.34
Japan,2008,1.37
Japan,2009,1.37
Japan,2010,1.39
Japan,2011,1.39
Japan,2012,1.41
Japan,2013,1.43
Japan,2014,1.42
Japan,2015,1.45
Japan,2016,1.44
Japan,2017,1.43
Japan,2018,1.42
Japan,2019,1.36
Japan,2020,1.33
Japan,2021,1.3
Mexico,1990,3.47
Mexico,1991,3.37
Mexico,1992,3.27
Mexico,1993,3.18
Mexico,1994,3.1
Mexico,1995,3.02
Mexico,1996,2.95
Mexico,1997,2.88
Mexico,1998,2.82
Mexico,1999,2.77
Mexico,2000,2.72
Mexico,2001,2.67
Mexico,2002,2.62
Mexico,2003,2.58
Mexico,2004,2.54
Mexico,2005,2.5
Mexico,2006,2.46
Mexico,2007,2.42
Mexico,2008,2.39
Mexico,2009,2.36
Mexico,2010,2.34
Mexico,2011,2.32
Mexico,2012,2.29
Mexico,2013,2.27
Mexico,2014,2.21
Mexico,2015,2.14
Mexico,2016,2.09
Mexico,2017,2.04
Mexico,2018,2
Mexico,2019,1.92
Mexico,2020,1.91
Mexico,2021,1.82
South Korea,1990,1.57
South Korea,1991,1.71
South Korea,1992,1.76
South Korea,1993,1.65
South Korea,1994,1.66
South Korea,1995,1.63
South Korea,1996,1.57
South Korea,1997,1.54
South Korea,1998,1.46
South Korea,1999,1.43
South Korea,2000,1.48
South Korea,2001,1.31
South Korea,2002,1.18
South Korea,2003,1.19
South Korea,2004,1.16
South Korea,2005,1.09
South Korea,2006,1.13
South Korea,2007,1.26
South Korea,2008,1.19
South Korea,2009,1.15
South Korea,2010,1.23
South Korea,2011,1.24
South Korea,2012,1.3
South Korea,2013,1.19
South Korea,2014,1.21
South Korea,2015,1.24
South Korea,2016,1.17
South Korea,2017,1.05
South Korea,2018,0.98
South Korea,2019,0.92
South Korea,2020,0.84
South Korea,2021,0.81
Spain,1990,1.36
Spain,1991,1.33
Spain,1992,1.32
Spain,1993,1.27
Spain,1994,1.2
Spain,1995,1.17
Spain,1996,1.16
Spain,1997,1.18
Spain,1998,1.16
Spain,1999,1.19
Spain,2000,1.23
Spain,2001,1.24
Spain,2002,1.25
Spain,2003,1.3
Spain,2004,1.31
Spain,2005,1.33
Spain,2006,1.36
Spain,2007,1.38
Spain,2008,1.45
Spain,2009,1.38
Spain,2010,1.37
Spain,2011,1.34
Spain,2012,1.32
Spain,2013,1.27
Spain,2014,1.32
Spain,2015,1.33
Spain,2016,1.34
Spain,2017,1.31
Spain,2018,1.26
Spain,2019,1.23
Spain,2020,1.19
Spain,2021,1.19
Sweden,1990,2.14
Sweden,1991,2.12
Sweden,1992,2.09
Sweden,1993,2
Sweden,1994,1.89
Sweden,1995,1.74
Sweden,1996,1.61
Sweden,1997,1.53
Sweden,1998,1.51
Sweden,1999,1.5
Sweden,2000,1.55
Sweden,2001,1.57
Sweden,2002,1.65
Sweden,2003,1.72
Sweden,2004,1.75
Sweden,2005,1.77
Sweden,2006,1.85
Sweden,2007,1.88
Sweden,2008,1.91
Sweden,2009,1.94
Sweden,2010,1.98
Sweden,2011,1.9
Sweden,2012,1.91
Sweden,2013,1.89
Sweden,2014,1.88
Sweden,2015,1.85
Sweden,2016,1.85
Sweden,2017,1.78
Sweden,2018,1.75
Sweden,2019,1.7
Sweden,2020,1.66
Sweden,2021,1.67
