Country,Year,CPR,FLFP,Female_tertiary_education,TFR,GDP_per_capita,Life_expectancy_65,Old_age_dependency,Pension_GDP,Social_security_GDP,Urban_rate,Pension_financing_gap,Country_Group
Brazil,1990,49,44.417,NA,2.91,6149.86788957152,NA,8.4,NA,NA,73.922,NA,Developing
Brazil,1991,50,44.487,NA,2.82,6107.6488370630595,13.35,9,NA,NA,74.69,NA,Developing
Brazil,1992,51.1,45.604,NA,2.72,5973.98285652476,NA,9.2,NA,NA,75.444,NA,Developing
Brazil,1993,52.2,46.718,NA,2.67,6167.4609220979,NA,9.3,NA,NA,76.181,NA,Developing
Brazil,1994,53.3,47.821,NA,2.62,6427.16901975862,NA,9.5,NA,NA,76.903,NA,Developing
Brazil,1995,54.3,48.916,NA,2.58,6596.33572707823,NA,9.6,NA,NA,77.61,NA,Developing
Brazil,1996,55.4,47.676,NA,2.52,6640.72700688977,NA,9.7,NA,NA,78.302,NA,Developing
Brazil,1997,56.4,48.677,NA,2.47,6764.85842125167,NA,9.8,NA,NA,79.048,NA,Developing
Brazil,1998,57.5,49.48,NA,2.41,6687.49523583703,16.55,9.9,NA,NA,79.781,NA,Developing
Brazil,1999,58.6,50.801,NA,2.33,6621.6367628267,16.75,10,NA,NA,80.496,NA,Developing
Brazil,2000,59.7,51.851,NA,2.26,6817.78424119813,16.9,9.3,NA,NA,81.192,NA,Developing
Brazil,2001,60.5,52.957,NA,2.18,6823.03397034029,17,10.2,NA,NA,81.553,NA,Developing
Brazil,2002,61.4,54.57,NA,2.1,6944.62337530502,17.05,10.4,NA,NA,81.88,NA,Developing
Brazil,2003,62.3,54.776,NA,2.02,6941.44045779811,17.15,10.5,NA,NA,82.203,NA,Developing
Brazil,2004,63.1,55.643,8.63,2,7258.78185202231,17.25,10.7,7.379,NA,82.521,NA,Developing
Brazil,2005,63.9,56.859,NA,1.97,7409.56913269792,17.3,10.8,7.308,NA,82.834,NA,Developing
Brazil,2006,64.6,56.546,9.12,1.93,7622.04007171401,17.4,11,7.136,NA,83.143,NA,Developing
Brazil,2007,65.2,56.286,10.14,1.88,8003.25413136092,17.5,11.1,7.247,NA,83.448,NA,Developing
Brazil,2008,65.4,56.039,10.84,1.84,8330.76459882987,17.6,11.3,7.181,NA,83.749,NA,Developing
Brazil,2009,65.6,56.566,11.57,1.83,8246.09707036353,17.700000000000003,11.5,6.899,NA,84.044,NA,Developing
Brazil,2010,65.7,55.049,12.51,1.81,8792.63436164336,17.799999999999997,11.7,6.472,NA,84.335,NA,Developing
Brazil,2011,65.8,53.517,12.65,1.8,9067.99316393419,17.5,11.9,6.214,NA,84.631,NA,Developing
Brazil,2012,65.9,52.873,13.25,1.77,9167.49923975685,17.85,12.2,6.384,NA,84.923,NA,Developing
Brazil,2013,66,52.826,13.99,1.75,9366.73932481225,17.95,12.5,6.497,NA,85.209,NA,Developing
Brazil,2014,66,52.714,14.7,1.77,9338.34278324839,18.15,12.9,6.255,NA,85.492,NA,Developing
Brazil,2015,66,53.323,15.06,1.78,8936.19661756825,18.25,13,6.715,NA,85.77,NA,Developing
Brazil,2016,66.1,53.522,16.92,1.71,8577.8437669383,18.4,NA,6.848,NA,86.042,NA,Developing
Brazil,2017,66.1,54.353,17.54,1.74,8628.25308951214,18.5,14.1,6.931,NA,86.309,NA,Developing
Brazil,2018,66.3,54.581,18.29,1.75,8722.33630361577,18.700000000000003,NA,8.461,NA,86.569,NA,Developing
Brazil,2019,66.4,55.306,21.294151,1.7,8771.44051336065,18.799999999999997,15,8.505,NA,86.824,NA,Developing
Brazil,2020,66.4,50.338,22.867119,1.65,8435.01143297182,18.950000000000003,15.5,9.154,NA,87.073,NA,Developing
Brazil,2021,66.4,52.482,23.305719,1.64,8799.22945854927,19.049999999999997,16,8.111,NA,87.317,NA,Developing
Chile,1990,32.2,30.877,NA,2.58,5342.5564679352,15.65,10.9,7.958,1.506,83.271,6.452,Developing
Chile,1991,33.3,31.786,NA,2.56,5664.52754709787,15.85,11.3,7.865,1.359,83.398,6.506,Developing
Chile,1992,34.5,33.144,NA,2.53,6196.34617389265,16,11.4,7.455,1.415,83.564,6.04,Developing
Chile,1993,35.7,34.037,NA,2.48,6502.65364930101,16.2,11.6,7.509,1.342,83.896,6.167,Developing
Chile,1994,37,34.74,NA,2.43,6727.66815117552,16.35,11.7,7.266,1.276,84.223,5.99,Developing
