Model,Variable,Coefficient,Std_Error,P_Value,Significance,Model_Type,Variable_Standard,Dep_Variable,Model_Spec,CI_Lower,CI_Upper,Significant
Main d_Pension_GDP,d_FLFP,-0.02973076072665562,0.02481195479387084,0.23204490948121947,NA,Fixed Effects,FLFP,Pension GDP (%),Main Model,-0.07836219212264248,0.01890067066933123,FALSE
Main d_Pension_GDP,CPR,-0.01114338872635338,0.01127528329230844,0.32403420956037465,NA,Fixed Effects,CPR,Pension GDP (%),Main Model,-0.03324294397927792,0.010956166526571161,FALSE
Main d_Pension_GDP,TFR,-0.263799629475515,0.18259548535945577,0.14988535472662554,NA,Fixed Effects,TFR,Pension GDP (%),Main Model,-0.6216867807800484,0.0940875218290183,FALSE
Lagged d_Pension_GDP,FLFP_lag2,0.00353447105719171,0.01070411477102587,0.7415664479714343,NA,Fixed Effects,FLFP,Pension GDP (%),Lagged Variables,-0.017445593894018997,0.024514536008402418,FALSE
Lagged d_Pension_GDP,CPR_lag3,-0.01364610062055153,0.01358411149093986,0.3162157976076082,NA,Fixed Effects,CPR,Pension GDP (%),Lagged Variables,-0.040270959142793654,0.012978757901690592,FALSE
Lagged d_Pension_GDP,TFR_lag5,-0.5105523212247925,0.1706217473750972,0.00308628563581028,**,Fixed Effects,TFR,Pension GDP (%),Lagged Variables,-0.844970946079983,-0.17613369636960208,TRUE
No_Outliers d_Pension_GDP,d_FLFP,-0.05120276699786647,0.02994131772264233,0.08724664452352723,NA,Random Effects,FLFP,Pension GDP (%),No Outliers,-0.10988774973424544,0.0074822157385125015,FALSE
No_Outliers d_Pension_GDP,CPR,1.624617452555169e-4,0.00329010699748101,0.96061737186978,NA,Random Effects,CPR,Pension GDP (%),No Outliers,-0.006286147969807262,0.006611071460318296,FALSE
No_Outliers d_Pension_GDP,TFR,-0.05665981563334903,0.06767871173315484,0.4024868159335028,NA,Random Effects,TFR,Pension GDP (%),No Outliers,-0.1893100906303325,0.07599045936363445,FALSE
Main d_Old_age_dependency,d_FLFP,-0.00345908070788902,0.03659870518306077,0.9248001417678936,NA,Fixed Effects,FLFP,Old-age Dependency,Main Model,-0.07519254286668813,0.0682743814509101,FALSE
Main d_Old_age_dependency,CPR,0.01035722063289072,0.01694573456272996,0.541794383640654,NA,Fixed Effects,CPR,Old-age Dependency,Main Model,-0.022856419110060006,0.043570860375841444,FALSE
Main d_Old_age_dependency,TFR,-0.20601292754264017,0.2887119586148643,0.4763710937011073,NA,Fixed Effects,TFR,Old-age Dependency,Main Model,-0.7718883664277743,0.35986251134249386,FALSE
Lagged d_Old_age_dependency,FLFP_lag2,0.01619426832164602,0.01763003666403264,0.3595681327488911,NA,Fixed Effects,FLFP,Old-age Dependency,Lagged Variables,-0.018360603539857953,0.05074914018314999,FALSE
Lagged d_Old_age_dependency,CPR_lag3,0.02241811417514321,0.02205506532317707,0.31078951300371965,NA,Fixed Effects,CPR,Old-age Dependency,Lagged Variables,-0.02080981385828385,0.06564604220857026,FALSE
Lagged d_Old_age_dependency,TFR_lag5,0.2681350021882621,0.27418454668809683,0.32943309588489345,NA,Fixed Effects,TFR,Old-age Dependency,Lagged Variables,-0.2692667093204077,0.8055367136969318,FALSE
No_Outliers d_Old_age_dependency,d_FLFP,-0.03699190601365924,0.04469616818509298,0.4078798659551088,NA,Random Effects,FLFP,Old-age Dependency,No Outliers,-0.12459639565644148,0.050612583629123,FALSE
No_Outliers d_Old_age_dependency,CPR,3.814060851903201e-4,0.00852710650024723,0.964323585647528,NA,Random Effects,CPR,Old-age Dependency,No Outliers,-0.01633172265529425,0.01709453482567489,FALSE
No_Outliers d_Old_age_dependency,TFR,-0.40822924764180246,0.18136587111829225,0.02439438389997964,*,Random Effects,TFR,Old-age Dependency,No Outliers,-0.7637063550336552,-0.052752140249949675,TRUE
Main d_Pension_financing_gap,d_FLFP,-0.02864564063941562,0.03897241897368966,0.4623252316208842,NA,Random Effects,FLFP,Pension Financing Gap,Main Model,-0.10503158182784735,0.04774030054901611,FALSE
Main d_Pension_financing_gap,CPR,0.00835120248401517,0.00494335667160106,0.09114684081377417,NA,Random Effects,CPR,Pension Financing Gap,Main Model,-0.0013377765923229066,0.018040181560353245,FALSE
Main d_Pension_financing_gap,TFR,0.11232269952888846,0.10494046549957912,0.2844632014117482,NA,Random Effects,TFR,Pension Financing Gap,Main Model,-0.09336061285028663,0.31800601190806355,FALSE
Lagged d_Pension_financing_gap,FLFP_lag2,0.00333569383696641,0.00676660249227252,0.6220377732826373,NA,Random Effects,FLFP,Pension Financing Gap,Lagged Variables,-0.009926847047887728,0.016598234721820548,FALSE
Lagged d_Pension_financing_gap,CPR_lag3,0.00470159335308829,0.00582746429681439,0.4197821978937479,NA,Random Effects,CPR,Pension Financing Gap,Lagged Variables,-0.006720236668667914,0.016123423374844494,FALSE
Lagged d_Pension_financing_gap,TFR_lag5,0.00402357730188622,0.10241006931781196,0.9686600693067472,NA,Random Effects,TFR,Pension Financing Gap,Lagged Variables,-0.19670015856102524,0.20474731316479766,FALSE
No_Outliers d_Pension_financing_gap,d_FLFP,-0.0356340177489114,0.05411567923426404,0.5110627560683428,NA,Fixed Effects,FLFP,Pension Financing Gap,No Outliers,-0.14170074904806892,0.0704327135502461,FALSE
No_Outliers d_Pension_financing_gap,CPR,0.00688582501817289,0.02110055491949931,0.7445467371374515,NA,Fixed Effects,CPR,Pension Financing Gap,No Outliers,-0.034471262624045755,0.04824291266039154,FALSE
No_Outliers d_Pension_financing_gap,TFR,-0.26725024812528564,0.29414054007493107,0.3647733526148602,NA,Fixed Effects,TFR,Pension Financing Gap,No Outliers,-0.8437657066721506,0.3092652104215793,FALSE
Main d_Social_security_GDP,d_FLFP,0.00992407238689118,0.02732319317056214,0.7164475971994174,NA,Random Effects,FLFP,Social Security GDP (%),Main Model,-0.04362938622741062,0.06347753100119298,FALSE
Main d_Social_security_GDP,CPR,-0.00506324916072852,0.00400064426799512,0.205653302033843,NA,Random Effects,CPR,Social Security GDP (%),Main Model,-0.012904511925998955,0.002778013604541916,FALSE
Main d_Social_security_GDP,TFR,-0.16633515555722422,0.0875525006731061,0.05745500048862222,NA,Random Effects,TFR,Social Security GDP (%),Main Model,-0.3379380568765122,0.005267745762063736,FALSE
