Variable_Standard,Dep_Variable,Mean_Coef,SD_Coef,Min_Coef,Max_Coef,Range_Coef,N_Models
CPR,Old-age Dependency,0.011052246964408083,0.01103478237490779,3.814060851903201e-4,0.02241811417514321,0.022036708089952887,3
CPR,Pension Financing Gap,0.006646206951758784,0.0018365659028333945,0.00470159335308829,0.00835120248401517,0.0036496091309268803,3
CPR,Pension GDP (%),-0.008209009200549799,0.007357107859321291,-0.01364610062055153,1.624617452555169e-4,0.013808562365807046,3
CPR,Social Security GDP (%),-0.004303884964403887,8.527235114226801e-4,-0.00506324916072852,-0.0033813751772478998,0.0016818739834806198,3
FLFP,Old-age Dependency,-0.008085572799967414,0.02689322604142015,-0.03699190601365924,0.01619426832164602,0.05318617433530526,3
FLFP,Pension Financing Gap,-0.02031465485045354,0.020777718797633706,-0.0356340177489114,0.00333569383696641,0.03896971158587781,3
FLFP,Pension GDP (%),-0.025799685555776792,0.027579545345660653,-0.05120276699786647,0.00353447105719171,0.054737238055058174,3
FLFP,Social Security GDP (%),5.257960510124312e-4,0.009004761016906827,-0.00802561708211972,0.00992407238689118,0.017949689469010897,3
TFR,Old-age Dependency,-0.11536905766539352,0.34717341916078326,-0.40822924764180246,0.2681350021882621,0.6763642498300646,3
TFR,Pension Financing Gap,-0.05030132376483699,0.19553082060036353,-0.26725024812528564,0.11232269952888846,0.3795729476541741,3
TFR,Pension GDP (%),-0.2770039221112189,0.22723416703045918,-0.5105523212247925,-0.05665981563334903,0.4538925055914435,3
TFR,Social Security GDP (%),-0.07450960040851907,0.10898560497306034,-0.16633515555722422,0.04592775470618617,0.2122629102634104,3
