Variable,Observations,Mean,Std. Dev.,Min,Max
Contraceptive Prevalence Rate (%),362,56.34,8.772,32.2,84.5
Female Labor Force Participation (%),385,47.472,7.316,30.877,62.818
Female Tertiary Education Rate (%),308,25.355,12.375,5.184,57.327
Total Fertility Rate,352,1.663,0.462,0.81,3.47
GDP per Capita (2017 PPP $),374,24904.037,12504.512,5342.556,54878.292
Life Expectancy at 65 (years),362,18.92,1.665,13.35,22.45
Old Age Dependency Ratio (%),361,24.848,10.379,8.4,55.4
Pension Expenditure (% GDP),346,8.58,4.518,0.478,17.942
Social Security Contributions (% GDP),329,9.483,4.961,0.985,19.456
Urban Population Rate (%),374,79.244,5.917,66.706,92.043
Pension Financing Gap (% GDP),324,-0.759,2.803,-7.686,6.942
