Variable,Observations,Mean,Std. Dev.,Min,Max
Contraceptive Prevalence Rate (%),105,53.891,9.47,32.2,66.6
Female Labor Force Participation (%),105,45.411,6.932,30.877,56.859
Female Tertiary Education Rate (%),65,14.204,3.934,6.44,23.57
Total Fertility Rate,96,2.206,0.454,1.54,3.47
GDP per Capita (2017 PPP $),102,9184.156,2108.696,5342.556,14272.271
Life Expectancy at 65 (years),93,17.873,1.247,13.35,20.7
Old Age Dependency Ratio (%),97,12.522,3.182,8.4,23.6
Pension Expenditure (% GDP),87,4.038,2.605,0.478,9.154
Social Security Contributions (% GDP),66,1.757,0.42,0.985,2.458
Urban Population Rate (%),102,81.851,4.973,71.419,88.012
Pension Financing Gap (% GDP),66,1.341,2.488,-1.784,6.506
