STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2018,,39.846661,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2013,,26.347219,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1991,,14.894364,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1994,,6.5385609,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1994,,16.095867,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,44.719719,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BRA,Brazil,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,23.824112,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,20.143509,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2014,,28.51054,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2014,,35.7752,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2022,,51.005707,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1995,,7.0455132,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1995,,16.574541,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1995,,29.530975,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1998,,19.19536,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1998,,10.213921,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1998,,16.099754,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1996,,12.831325,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1999,,10.314436,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1999,,17.043734,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1997,,28.875975,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1997,,26.944363,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1997,,13.433756,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1997,,18.009117,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2003,,19.370392,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2004,,20.601019,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2004,,37.503696,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,1992,,15.635099,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,29.037636,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2010,,34.814861,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2010,,13.19238,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2010,,23.37282,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2004,,36.810345,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2004,,12.093648,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2004,,19.71912,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2002,,24.844231,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2006,,29.3603,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2006,,11.367753,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2006,,28.025822,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2001,,23.550108,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2005,,34.353493,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2005,,38.443737,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2005,,12.830312,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2005,,20.311262,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2005,,28.846592,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,54.227333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,57.033333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,23.084085,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,36.074879,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2021,,44.032066,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2007,,11.644622,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2007,,29.911917,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2009,,30.428736,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2010,,30.673267,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2012,,25.742893,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2012,,41.47477,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2012,,46.479298,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2012,,17.459343,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2012,,26.733065,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,EDUADULT,Adult education level,TRY_WOMEN,"Tertiary, women",PC_25_64,% of 25-64 year-olds,A,Annual,2020,,52.181118,,A,,,,,,,
