STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,22.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,24,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,23.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,9.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,10.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,24.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,23.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,19.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,8.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1990,,30.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,9.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,11.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,20,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,23.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,23.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,24.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,24,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,25.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,30.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1991,,8.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,11.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,20.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,30.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,8.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,9.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,25.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,23.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,24,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,24.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1992,,24.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,21.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,30.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,11.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,24.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,24.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,25.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,9.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,24.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1993,,26,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,30.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,9.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,25.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,22.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,11.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,26.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,24.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,24.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1994,,25.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,25.6,,A,,,,,,,
