STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1990,,8.978,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1990,,11.172,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1990,,30.213,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1990,,44.065,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1990,,1.506,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1990,,26.454,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1992,,29.391,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1992,,17.72,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1992,,7.667,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1992,,7.318,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1992,,18.29,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1991,,1.359,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1991,,27.486,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1991,,29.059,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1991,,17.258,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1991,,7.519,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1991,,7.38,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1991,,18.212,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1993,,11.935,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1993,,13.385,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1993,,31.434,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1993,,38.365,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1994,,11.962,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1994,,12.449,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1994,,31.246,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,1994,,38.74,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,1994,,2.404,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,TAXSS,Social security contributions,TOT,Total,PC_TOT_TAX,% of taxation,A,Annual,2022,,4.112,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,TAXSS,Social security contributions,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,12.799,,A,,,,,,,
